Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
00nobrandfound,No available brand drug found. Lets keep generic ,valsartan 160 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD-349353,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI00nobrandfound','No available brand drug found. Lets keep generic',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB00nobrandfound','No available brand drug found. Lets keep generic','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE00nobrandfound','SCD-349353')"
2613,Starval 160 MG Oral Tablet ,valsartan 160 MG Oral Tablet,PSN-349201,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2613','Starval 160 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2613','Starval 160 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2613','valsartan 160 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2613','PSN-349201')"
00nobrandfound,No available brand drug found. Lets keep generic ,valsartan 320 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD-636042,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI00nobrandfound','No available brand drug found. Lets keep generic',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB00nobrandfound','No available brand drug found. Lets keep generic','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE00nobrandfound','SCD-636042')"
10774,Valsar-Denk 320 MG Oral Tablet ,valsartan 320 MG Oral Tablet,PSN-349200 ,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10774','Valsar-Denk 320 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10774','Valsar-Denk 320 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10774','valsartan 320 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10774','PSN-349200 ')"
2804,Co-Diovan 80 MG/ 12.5 MG Oral Tablet ,valsartan 80 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD-200284,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2804','Co-Diovan 80 MG/ 12.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2804','Co-Diovan 80 MG/ 12.5 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2804','SCD-200284')"
2640,Starval 80 MG Oral Tablet,valsartan 80 MG Oral Tablet,PSN-349199,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2640','Starval 80 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2640','Starval 80 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2640','valsartan 80 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2640','PSN-349199')"
11921,Valsar-Denk 160 MG Oral Tablet,valsartan  160 MG Oral Tablet,PSN-349201,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11921','Valsar-Denk 160 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11921','Valsar-Denk 160 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11921','valsartan 160 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11921','PSN-349201')"
11919,Valsar-Denk 80 MG Oral Tablet,valsartan  80 MG Oral Tablet,PSN-349199,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11919','Valsar-Denk 80 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11919','Valsar-Denk 80 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11919','valsartan 80 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11919','PSN-349199')"
4661,Vera-Denk 240 MG Retard Oral Tablet ,verapamil HCL  240 MG Sustained Release Oral Tablet,SCD-897649,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4661','Vera-Denk 240 MG Retard Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4661','Vera-Denk 240 MG Retard Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4661','SCD-897649')"
5308,Isoptin 40 MG Oral Tablet ,verapamil HCL  40 MG Oral Tablet,SCD-897722,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5308','Isoptin 40 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5308','Isoptin 40 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5308','SCD-897722')"
3035,Galvus 50 MG Oral Tablet ,VILDAgliptin 50 MG Oral Tablet ,SCD-757712,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3035','Galvus 50 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3035','Galvus 50 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3035','SCD-757712')"
00nobrandfound,NEED TO VERIFY IF APPROVED IN KENYA,warfarin sodium 1 MG Oral Tablet,SCD-855288,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI00nobrandfound','NEED TO VERIFY IF APPROVED IN KENYA',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB00nobrandfound','NEED TO VERIFY IF APPROVED IN KENYA','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE00nobrandfound','SCD-855288')"
00nobrandfound,NEED TO VERIFY IF APPROVED IN KENYA,warfarin sodium 3 MG Oral Tablet,SCD-855318,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI00nobrandfound','NEED TO VERIFY IF APPROVED IN KENYA',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB00nobrandfound','NEED TO VERIFY IF APPROVED IN KENYA','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE00nobrandfound','SCD-855318')"
2960,Warexx-5 MG Oral Tablet ,warfarin sodium 5 MG Oral Tablet,SCD-855332,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2960','Warexx-5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2960','Warexx-5 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2960','SCD-855332')"
48,Aspirin 500 MG Oral Tablet ,aspirin 500 MG Oral Tablet ,SCD-198471,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI48','Aspirin 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB48','Aspirin 500 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE48','SCD-198471')"
11683,Cardisprin 75 MG Dispersible Oral Tablet ,aspirin 75 MG Dispersible Oral Tablet ,SCD-104475,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11683','Cardisprin 75 MG Dispersible Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11683','Cardisprin 75 MG Dispersible Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11683','SCD-104475')"
428,Cetamol 500 MG Oral Tablet ,paracetamol 500 MG Oral Tablet ,SCD-198440,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI428','Cetamol 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB428','Cetamol 500 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE428','SCD-198440')"
12561,Sanmol 500 MG Effervescent Oral Tablet ,paracetamol 500 MG Effervescent Oral Tablet,SCD-1536880,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI12561','Sanmol 500 MG Effervescent Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB12561','Sanmol 500 MG Effervescent Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE12561','SCD-1536880')"
14370,Adol Infants' Drops 100 MG/ML Oral Solution,paracetamol 100 MG/ML Oral Solution ,SCD-238159,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14370','Adol Infants' Drops 100 MG/ML Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14370','Adol Infants' Drops 100 MG/ML Oral Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14370','SCD-238159')"
993,Sonadol Extra 500/65 Oral Tablet ,paracetamol 500 MG / caffeine 65 MG Oral Tablet ,SCD-307686,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI993','Sonadol Extra 500/65 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB993','Sonadol Extra 500/65 Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE993','SCD-307686')"
4005,Panadol Actifast 500 MG Soluble Oral Tablet ,paracetamol 500 MG Effervescent Oral Tablet,SCD-1536880,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4005','Panadol Actifast 500 MG Soluble Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4005','Panadol Actifast 500 MG Soluble Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4005','SCD-1536880')"
4376,Panadol Extra 500 MG / 65 MG Oral Tablet ,paracetamol 500 MG / caffeine anhydrous 65 MG Oral Tablet,SCD-307686,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4376','Panadol Extra 500 MG / 65 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4376','Panadol Extra 500 MG / 65 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4376','SCD-307686')"
15219,Ace 500 MG Rectal Suppository ,paracetamol 500 MG Rectal Suppository,SCD-250651,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15219','Ace 500 MG Rectal Suppository',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15219','Ace 500 MG Rectal Suppository','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15219','SCD-250651')"
719,Febricol Oral Tablet ,paracetamol 500 MG / chlorpheniramine maleate 2 MG / pseudoephedrine HCL  30 MG Oral Tablet ,SCD-1251928,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI719','Febricol Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB719','Febricol Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE719','SCD-1251928')"
4892,Tramacetal (Tramadol 37.5 MG / Paracetamol 325 MG) Oral Tablet ,traMADol HCL  37.5 MG / paracetamol 325 MG Oral Tablet ,SCD-836395,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4892','Tramacetal (Tramadol 37.5 MG / Paracetamol 325 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4892','Tramacetal (Tramadol 37.5 MG / Paracetamol 325 MG) Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4892','SCD-836395')"
1825,Anadol 50 MG Oral Capsule ,traMADol HCL  50 MG Oral Capsule ,SCD-836466,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1825','Anadol 50 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1825','Anadol 50 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1825','SCD-836466')"
7892,Tramal SR 100 MG Sustained Release Oral Tablet ,traMADol HCL  100 MG Sustained Release Oral Tablet ,SCD-833709,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7892','Tramal SR 100 MG Sustained Release Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7892','Tramal SR 100 MG Sustained Release Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7892','SCD-833709')"
7247,Urgendol 50 MG/ML Injectable Solution ,traMADol HCL  50 MG/ML Injectable Solution ,SCD-849329,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7247','Urgendol 50 MG/ML Injectable Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7247','Urgendol 50 MG/ML Injectable Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7247','SCD-849329')"
15190,Cocoflu Oral Capsule ,paracetamol 325 MG / dextromethorphan HBr 10 MG / phenylephrine HCL  5 MG / doxylamine succinate 6.25 MG Oral Capsule ,SCD-1297288,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15190','Cocoflu Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15190','Cocoflu Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15190','SCD-1297288')"
6359,Indowin 25 MG Oral Capsule ,indomethacin 25 MG Oral Capsule ,PSN-197817,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6359','Indowin 25 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6359','Indowin 25 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG6359','indomethacin 25 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6359','PSN-197817')"
5970,Ketolac 0.5 % Opthalmic Solution ,ketorolac tromethamine 0.5 % Ophthalmic Solution,SCD-860107,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5970','Ketolac 0.5 % Opthalmic Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5970','Ketolac 0.5 % Opthalmic Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5970','SCD-860107')"
5940,Acular 0.5 % Opthalmic Solution ,ketorolac tromethamine 0.5 % Ophthalmic Solution,SCD-860107,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5940','Acular 0.5 % Opthalmic Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5940','Acular 0.5 % Opthalmic Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5940','SCD-860107')"
1245,Rolac 10 MG Oral Tablet ,ketorolac tromethamine 10 MG Oral Tablet,SCD-834022,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1245','Rolac 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1245','Rolac 10 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1245','SCD-834022')"
1247,Rolac 30 MG/ML Injection ,ketorolac tromethamine 30 MG/ML Injection,SCD-1665461,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1247','Rolac 30 MG/ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1247','Rolac 30 MG/ML Injection','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1247','SCD-1665461')"
3550,Mefenamic Acid 250 MG Oral Capsule ,mefenamic acid 250 MG Oral Capsule ,SCD-829500,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3550','Mefenamic Acid 250 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3550','Mefenamic Acid 250 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3550','SCD-829500')"
2974,Ponstan Forte 500 MG Oral Tablet ,mefenamic acid 500 MG Oral Tablet ,SCD-829613,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2974','Ponstan Forte 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2974','Ponstan Forte 500 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2974','SCD-829613')"
7501,Melonac 15 MG Oral Tablet ,meloxicam 15 MG Oral Tablet ,SCD-152695,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7501','Melonac 15 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7501','Melonac 15 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7501','SCD-152695')"
8280,Melonac 7.5 MG Oral Tablet ,meloxicam 7.5 MG Oral Tablet ,SCD-311486,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8280','Melonac 7.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8280','Melonac 7.5 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8280','SCD-311486')"
2628,Mexic 15 MG Oral Tablet ,meloxicam 15 MG Oral Tablet ,SCD-152695,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2628','Mexic 15 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2628','Mexic 15 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2628','SCD-152695')"
2626,Mexic 7.5 MG Oral Tablet ,meloxicam 7.5 MG Oral Tablet ,SCD-311486,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2626','Mexic 7.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2626','Mexic 7.5 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2626','SCD-311486')"
2943,Mobic 7.5 MG Oral Tablet ,meloxicam 7.5 MG Oral Tablet ,SCD-311486,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2943','Mobic 7.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2943','Mobic 7.5 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2943','SCD-311486')"
2973,Mobic 15 MG Oral Tablet ,meloxicam 15 MG Oral Tablet ,SCD-152695,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2973','Mobic 15 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2973','Mobic 15 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2973','SCD-152695')"
15479,Piroxicam 20 MG Oral Capsule ,piroxicam 20 MG Oral Capsule,SCD-198108,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15479','Piroxicam 20 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15479','Piroxicam 20 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15479','SCD-198108')"
10362,Roxicam 20 MG Oral Capsule ,piroxicam 20 MG Oral Capsule,SCD-198108,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10362','Roxicam 20 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10362','Roxicam 20 MG Oral Capsule','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10362','SCD-198108')"
4645,Ultiva 1 MG Injection ,remifentanil 1 MG Injection,SCD-1729578,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4645','Ultiva 1 MG Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4645','Ultiva 1 MG Injection','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4645','SCD-1729578')"
4648,Ultiva 2 MG Injection ,remifentanil 2 MG Injection,SCD-1729584,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4648','Ultiva 2 MG Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4648','Ultiva 2 MG Injection','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4648','SCD-1729584')"
4630,Ultiva 5 MG Injection ,remifentanil 5 MG Injection,SCD-1729710,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4630','Ultiva 5 MG Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4630','Ultiva 5 MG Injection','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4630','SCD-1729710')"
6920,Codeine Phosphate 30 MG Oral Tablet ,codeine phosphate 30 MG Oral Tablet ,SCD-997285,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6920','Codeine Phosphate 30 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6920','Codeine Phosphate 30 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6920','SCD-997285')"
3091,DHC 30 MG Oral Tablet ,dihydrocodeine tartrate 30 MG Oral Tablet ,SCD-1236182,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3091','DHC 30 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3091','DHC 30 MG Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3091','SCD-1236182')"
3623,DF118 Oral Tablet  ,dihydrocodeine tartrate 30 MG Oral Tablet ,SCD-1236182,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3623','DF118 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3623','DF118 Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3623','SCD-1236182')"
3332,Penamox 125 MG in 5 ML Oral Suspension ,amoxicillin 125 MG in 5 ML Oral Suspension ,SCD-313797,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3332','Penamox 125 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3332','Penamox 125 MG in 5 ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3332','SCD-313797')"
